gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1224542608	71e6db8e-f762-11e1-a439-00145eb45e9a	urn:catalog:OMNH:FISH:85718	Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	(AGTN36-2013) Napier Road, 100 meters downstream from AGTN35-2013	609765e0-4ce8-11db-b80e-b8a03c50a862	35.4654	-87.4648					2013-06-26T00:00Z	26	6	2013	2382397	2382397	PRESERVED_SPECIMEN	OMNH	FISH	85718.0		Dr. Aaron Geheber		Sam Noble Oklahoma Museum of Natural History	Aaron Geheber			2015-12-23T21:01Z		GEODETIC_DATUM_ASSUMED_WGS84
17598896	83a8c0da-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	CA	London (ON)	0e0fc0f0-828e-11d8-b7ed-b8a03c50a862	42.961	-81.326					1981-07-28T00:00Z	28	7	1981	2382397	2382397	PRESERVED_SPECIMEN	CMN	CMNFI	CMNFI 1986-0286.1		Baldwin, M.E.			Baldwin, M.E.; Bowlby, J.N.			2014-06-04T23:44Z		GEODETIC_DATUM_ASSUMED_WGS84
17598905	83a8c0da-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	CA	London (ON)	0e0fc0f0-828e-11d8-b7ed-b8a03c50a862	42.971	-81.2					1981-11-17T00:00Z	17	11	1981	2382397	2382397	PRESERVED_SPECIMEN	CMN	CMNFI	CMNFI 1986-0349.5		Baldwin, Mary Elizabeth			Baldwin, Mary Elizabeth; Casbourn, Hugh R.			2014-06-04T23:44Z		GEODETIC_DATUM_ASSUMED_WGS84
198193430	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides	blennioides	SUBSPECIES	Etheostoma blennioides blennioides Rafinesque, 1819	US	Five Mile Creek, 4 mi. N Alleganey.	039f44e0-e712-11dd-9cd2-b8a03c50a862	42.14917	-78.50861					1952-09-11T00:00Z	11	9	1952	6169015	2382397	PRESERVED_SPECIMEN	TU	Fish	4307					R.D. Suttkus, Eaton & Donahue			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
198193618	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Little Pigeon River 4 mi. E Sevierville, Hwy. 411.	039f44e0-e712-11dd-9cd2-b8a03c50a862	35.865	-83.50694					1963-04-13T00:00Z	13	4	1963	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	30389					R.D. Suttkus, J.S. Ramsey & M.D. Dahlberg			2014-06-05T03:09Z		TAXON_MATCH_HIGHERRANK;GEODETIC_DATUM_ASSUMED_WGS84
198193781	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Buffalo River about 1.25 mi. up from its mouth, near Buffalo City.	039f44e0-e712-11dd-9cd2-b8a03c50a862	36.16306	-92.41666					1965-07-21T00:00Z	21	7	1965	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	49329					Cashner et al.			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
198193942	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Black River on Hwy. 49, 3.2 mi. W of Williamsville, MO.	039f44e0-e712-11dd-9cd2-b8a03c50a862	36.97222	-90.59666					1970-10-10T00:00Z	10	10	1970	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	66868					R.D. Suttkus, Conner & Caruso			2014-06-05T03:09Z		TAXON_MATCH_HIGHERRANK;GEODETIC_DATUM_ASSUMED_WGS84
198194055	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Bay Fork of Barren River Hwy. 31 (E) bridge 3 mi. NE Scottsville.	039f44e0-e712-11dd-9cd2-b8a03c50a862	36.77528	-86.17445					1973-04-11T00:00Z	11	4	1973	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	81875					Thompson,Bresnick,Humphries,Heins,Conner			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
198194060	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Middle Fork Drakes Creek at low water bridge; about 0.5 mi. above KY Hwy. 265; 2.7 mi. SE of Gold City.	039f44e0-e712-11dd-9cd2-b8a03c50a862	36.75444	-86.4475					1973-04-14T00:00Z	14	4	1973	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	81923					Thompson, Etnier, Hoyt, Oakberg, Taylor, & Stiles			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
198194158	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Saline River 3 mi. E of Poyen at Hwy. 260 (270?) bridge.	039f44e0-e712-11dd-9cd2-b8a03c50a862	34.31944	-92.58667					1972-06-10T00:00Z	10	6	1972	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	96717					H.W. Robison & Beene			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
198194173	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Spring River, 2.5 mi. NE of Heart at low-water bridge.	039f44e0-e712-11dd-9cd2-b8a03c50a862	36.3475	-91.65889					1975-04-05T00:00Z	5	4	1975	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	97982					H.W. Robison et al.			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
198194176	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Fourche La Fave River on county road 0.5 mi. SE of Boles.	039f44e0-e712-11dd-9cd2-b8a03c50a862	34.77611	-94.04083					1975-07-25T00:00Z	25	7	1975	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	98245					H.W. Robison et al.			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
198194279	961f602a-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Actinopterygii	Perciformes	Percidae	Etheostoma	Etheostoma blennioides		SPECIES	Etheostoma blennioides Rafinesque, 1819	US	Little River at Hwy. 411 bridge 5.0 mi. NE of Maryville.	039f44e0-e712-11dd-9cd2-b8a03c50a862	35.78556	-83.88416					1977-06-30T00:00Z	30	6	1977	2382397	2382397	PRESERVED_SPECIMEN	TU	Fish	110826					Barbour, Scriber, Bruce & Kessler			2014-06-05T03:09Z		GEODETIC_DATUM_ASSUMED_WGS84
